"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2764500418","","","Dacia Sendero 54cv avec Boîtier Éthanol","8 600 €","Pack Sérénité","202045345 kmEssenceManuelle","2020","45345 km","Essence","Manuelle","Saint-Priest 69800"
"https://www.leboncoin.fr/ad/voitures/2806338614","","","Twingo1.0","","Pack Sérénité","202060200 kmEssenceManuelle","2020","60200 km","Essence","Manuelle","Friville-Escarbotin 80130"
"https://www.leboncoin.fr/ad/voitures/2784190701","","","Dacia SANDERO STEPWAY 1.0 CONFORT","","Pack Sérénité","202192000 kmEssenceManuelle","2021","92000 km","Essence","Manuelle","Bezons 95870"
"https://www.leboncoin.fr/ad/voitures/2789369286","","Pro","Renault Twingo III SCe 75 - Zen","8 700 €","","202042500 kmEssenceManuelle","2020","42500 km","Essence","Manuelle","Saint-Étienne 42000"
"https://www.leboncoin.fr/ad/voitures/2788818853","","Pro","Renault Twingo III TCE 75 Ch finition Zen / Clim / Bluetooth / limiteur de vitesse / ENTRETIENT COMPLET RENAULT / 5 Portes","","","202034800 kmEssenceManuelle","2020","34800 km","Essence","Manuelle","Saint-Zacharie 83640"
"https://www.leboncoin.fr/ad/voitures/2834911164","","","Skoda octavia 2l 150cv DSG7","8 800 €","Paiement sécurisé","2020238000 kmDieselManuelle","2020","238000 km","Diesel","Manuelle","Montauban 82000"
"https://www.leboncoin.fr/ad/voitures/2824521388","","","Twingo V SCe 65","8 800 €","Pack Sérénité","202052000 kmEssenceManuelle","2020","52000 km","Essence","Manuelle","Petite-Forêt 59494"
"https://www.leboncoin.fr/ad/voitures/2820880197","","","Zoé","8 800 €","Paiement sécurisé","202076000 kmElectriqueAutomatique","2020","76000 km","Electrique","Automatique","Rougiers 83170"
"https://www.leboncoin.fr/ad/voitures/2806743205","","","Citroën C3 Société 1.2 Pure Tech 82cv FEEL NAV","8 800 €","Pack Sérénité","202052000 kmEssenceManuelle","2020","52000 km","Essence","Manuelle","Carcassonne 11000"
"https://www.leboncoin.fr/ad/voitures/2806728744","","","Citroen C3 Sté pure tech 82 S&S Feel Nav","8 800 €","Pack Sérénité","202052000 kmEssenceManuelle","2020","52000 km","Essence","Manuelle","Pennautier 11610"
"https://www.leboncoin.fr/ad/voitures/2659261263","","","Renault twingo iii (2) 1.0 sce 75 zen","","Pack Sérénité","202047000 kmEssenceManuelle","2020","47000 km","Essence","Manuelle","Suresnes 92150"
"https://www.leboncoin.fr/ad/voitures/2815571322","","","Peugeot - 108 Like VTi 72 S&S BVM5 5p","8 880 €","Pack Sérénité","202038000 kmEssenceManuelle","2020","38000 km","Essence","Manuelle","Vannes 56000"
"https://www.leboncoin.fr/ad/voitures/2824187698","","","PEUGEOT 308 sw 130 cv allure","","Pack Sérénité","2020136000 kmEssenceManuelle","2020","136000 km","Essence","Manuelle","Saint-Nom-la-Bretèche 78860"
"https://www.leboncoin.fr/ad/voitures/2836263032","","","Dacia Sandero sce 75 City plus suréquipée (clim , bluetooth )+ options régulateur et radar de recul","8 900 €","Pack Sérénité","202049000 kmEssenceManuelle","2020","49000 km","Essence","Manuelle","Sausset-les-Pins 13960"
"https://www.leboncoin.fr/ad/voitures/2836212883","","Pro","Renault Twingo III SCe 75 - Zen","8 900 €","","202039500 kmEssenceManuelle","2020","39500 km","Essence","Manuelle","Saint-Étienne 42000"
"https://www.leboncoin.fr/ad/voitures/2823976967","","","Opel Corsa 6 Excellent État","8 900 €","Pack Sérénité","2020116000 kmEssenceManuelle","2020","116000 km","Essence","Manuelle","Nantes 44000"
"https://www.leboncoin.fr/ad/voitures/2816642518","","Pro","Dacia sandero ii (2) 1.0 sce 75 confort","8 900 €","","202058363 kmEssenceManuelle","2020","58363 km","Essence","Manuelle","Le Muy 83490"
"https://www.leboncoin.fr/ad/voitures/2816253316","","","Logan berline 1.0 SCe75","8 900 €","Pack Sérénité","202039000 kmEssenceManuelle","2020","39000 km","Essence","Manuelle","Donzère 26290"
"https://www.leboncoin.fr/ad/voitures/2809922608","","Pro","FIAT 500C Cabriolet Hybride 1.0 70CH LOUNGE","8 900 €","","2020159000 kmEssenceManuelle","2020","159000 km","Essence","Manuelle","Lançon-Provence 13680"
"https://www.leboncoin.fr/ad/voitures/2790479167","https://img.leboncoin.fr/api/v1/lbcpb1/images/1e/50/9c/1e509c2dede880fc2d8799ea5976b246f3aa91ab.jpg?rule=ad-image","","Citroën c3 société pure tech 82 s&s feel nav","8 900 €","Pack Sérénité","202051500 kmEssenceManuelle","2020","51500 km","Essence","Manuelle","Carcassonne 11000"
"https://www.leboncoin.fr/ad/voitures/2781588113","https://img.leboncoin.fr/api/v1/lbcpb1/images/f4/61/57/f461576bdcd80d199ad2f1b658eb4f8b69347e9b.jpg?rule=ad-image","Pro","Peugeot 108 style 72 vti","8 900 €","","202058242 kmEssenceManuelle","2020","58242 km","Essence","Manuelle","Hyères 83400"
"https://www.leboncoin.fr/ad/voitures/2773322180","","","Twingo 4 zen sce 75","8 900 €","Pack Sérénité","202140000 kmEssenceManuelle","2021","40000 km","Essence","Manuelle","Anzin 59410"
"https://www.leboncoin.fr/ad/voitures/2768248994","","Pro","Renault twingo 3 sce 65 zen","8 900 €","","202023696 kmEssenceManuelle","2020","23696 km","Essence","Manuelle","Valognes 50700"
"https://www.leboncoin.fr/ad/voitures/2831752307","","","Dacia sandero city +","8 950 €","Pack Sérénité","202054930 kmEssenceManuelle","2020","54930 km","Essence","Manuelle","Oust-Marest 80460"
"https://www.leboncoin.fr/ad/voitures/2826911555","","","Renault Twingo III","8 950 €","Pack Sérénité","202029420 kmEssenceManuelle","2020","29420 km","Essence","Manuelle","Retiers 35240"
"https://www.leboncoin.fr/ad/voitures/2645827828","","Pro","Renault twingo 3 / première main /etat neuf / garantie / 2021/ disponible de suite","8 950 €","","202169000 kmEssenceManuelle","2021","69000 km","Essence","Manuelle","Brie-Comte-Robert 77170"
